date,description,net_amount,vat_amount,category
31/03/2025,Grant in Aid NH for April 2025,480000000.0,0.0,Grt Aid to NDPBs
04/03/2025,SR 900123074,219155304.0,0.0,Grt Aid to NDPBs
11/03/2025,MWCC BBV IPT Stage 2,203955155.33,0.0,AUC - Phase 1
11/03/2025,MWCC Stage 2 - EKFB IPT,183756380.4,0.0,AUC - Phase 1
28/03/2025,2601 Wk4 GTR_NRC_PCPOpex_(ICP) - PAYMENT ON ACCOUN,138761977.1,0.0,TOCOpCosts(Pub)
04/03/2025,SR 900123074,136300000.0,0.0,Cap Grt NDPBs & CG
28/03/2025,2601 Wk4 GWR_NRC_ICP_OPEX_P2601 - ON ACCOUNT - FIR,117093241.7,0.0,TOCOpCosts(Pub)
07/03/2025,MWCC S12 - Stage 2 GBP Purchase Order,104109717.99,0.0,AUC - Phase 1
28/03/2025,2601 Wk4 NTL P2601 CBrp Cost Budget Payment - Nort,93338000.0,0.0,TOCOpCosts(Pub)
28/03/2025,2601 Wk4 SWR_NRC_PCPCost (Payment on account) - Fi,90514300.99,0.0,TOCOpCosts(Pub)
13/03/2025,Dft fourth quarter PFI payment transfer,80577205.0,0.0,CurrGrt Las in AEF/A
28/03/2025,2601 Wk4 Period 1 2025/26 - Costs & PBT - London N,76368257.51,0.0,TOCOpCosts(Pub)
27/03/2025,Highways Maintenance Block with Uplift,50710250.0,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 EMR_NRC_ICPCost_P2601 - Transport UK East,39235065.57,0.0,TOCOpCosts(Pub)
12/03/2025,MWCC C1 Align PBA PO,38108435.92,0.0,AUC - Phase 1
27/03/2025,Highways Maintenance Block with Uplift,33333000.0,0.0,Cap Grt Loc Auth
13/03/2025,Operate Roads PFI Service Payments,32736846.71,0.0,PFI Service Payments
31/03/2025,#,28167365.0,0.0,CurrGrtOth to NDPBs
25/03/2025,DfT FY 24/25 extraordinary revenue funding,28000000.0,0.0,CurrGrt Las in AEF/A
26/03/2025,Transforming Cities Fund Capital Grant,23615504.1,0.0,Cap Grt Loc Auth
05/03/2025,MRN/LLM  Capital Grants 2024/25,21135578.0,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 CHT On Account - Opex (ICP) - THE CHILTER,19828320.0,0.0,TOCOpCosts(Pub)
24/03/2025,Levelling Up Fund Payment 19 for Round 1 Schemes,19086940.5,0.0,Cap Grt Loc Auth
19/03/2025,2513 Wk4 Track Access Advance Payment P2 - London,17930273.07,0.0,TOCOpCosts(Pub)
19/03/2025,2513 Wk4 Track Access Advance Payment P3 - London,17930273.07,0.0,TOCOpCosts(Pub)
19/03/2025,2513 Wk4 Track Access Advance Payment P1 - London,16759195.58,0.0,TOCOpCosts(Pub)
28/03/2025,2601 Wk4 NRC Contract Payment (CP) - Opex (ICP) -,15793728.07,0.0,TOCOpCosts(Pub)
28/03/2025,2601 Wk4 NRC_PCP Staff Cost_P2601 - West Midlands,15696582.45,0.0,TOCOpCosts(Pub)
27/03/2025,ZEBRA 2,15507553.77,0.0,Cap Grt Loc Auth
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,15479816.56,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 NRC_PCP Rolling Stock Cost_P2601 - West M,14211853.1,0.0,TOCOpCosts(Pub)
28/03/2025,2601 Wk4 NRC_PCP Rolling Stock Cost_P2601 - ARRIVA,14035342.12,0.0,TOCOpCosts(Pub)
10/03/2025,RIS 1 Schemes,13555363.36,0.0,TA Cost AUC - Programme
26/03/2025,Transforming Cities Fund Capital Grant,13045750.0,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 SWR_NRC_PBF_23-24 - First MTR South Weste,12417978.24,0.0,TOCPerfMgmtFee(Pub)
17/03/2025,RIS 2 Schemes,12145965.03,0.0,TA Cost AUC - Programme
27/03/2025,2513 Wk3 P2513 base subsidy,11753243.57,0.0,Pte Cost Of Servs Ch
28/03/2025,2601 Wk4 NRC_PCP Infrastructure Charges_P2601 - We,11508259.73,0.0,TOCOpCosts(Pub)
28/03/2025,2601 Wk4 TPT_CP Contract Payment_P2601 - Transpenn,11400427.97,0.0,TOCOpCosts(Pub)
28/03/2025,2601 Wk4 NRC_PCP Staff Cost_P2601 - ARRIVA TRAINS,11188258.26,0.0,TOCOpCosts(Pub)
14/03/2025,Main Works Station Contract (MWSC) - Curzon Street Stage Two,11108318.3,0.0,AUC - Phase 1
26/03/2025,Bus Transformation Fund (CDEL) - #11m,11000000.0,0.0,Cap Grt Loc Auth
27/03/2025,CRSTS Revenue,11000000.0,0.0,CurrGrt Las in AEF/A
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,10755116.71,0.0,Cap Grt Loc Auth
20/03/2025,RIS 2 Schemes,10359475.48,0.0,TA Cost AUC - Programme
28/03/2025,2601 Wk4 EMR_NRC_Staff_Costs_Interim_CBCEs_P2512 -,10129768.0,0.0,TOCOpCosts(Pub)
26/03/2025,Lancashire C Council -  LEVI C Fund 24-25 100%,10111000.0,0.0,Cap Grt Loc Auth
05/03/2025,MRN/LLM  Capital Grants 2024/25,10000000.0,0.0,Cap Grt Loc Auth
10/03/2025,Construction Partner - Euston Station (approved budget),9825198.61,0.0,AUC - Phase 1
28/03/2025,2601 Wk4 CP Contract Payment - PAYMENT ON ACCOUNT,9465719.91,0.0,TOCOpCosts(Pub)
05/03/2025,MRN/LLM  Capital Grants 2024/25,9000000.0,0.0,Cap Grt Loc Auth
26/03/2025,Essex CC 100%-  LEVI C Fund 24-25,8382000.0,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 NRC_PCP Other Operating Cost_P2601 - West,8284833.75,0.0,TOCOpCosts(Pub)
03/03/2025,Levelling Up Fund Payment 15 for Round 2 Schemes,7810000.0,0.0,Cap Grt Loc Auth
04/03/2025,SR 9001237796,7723334.1,0.0,Eurotunnel Admin Pay
24/03/2025,Manufacture and Supply Agreement for Conventional Compatible High Speed Trains - remainder contract value,7663654.43,0.0,AUC - Phase 1
28/03/2025,Safer Roads Fund Capital Grant,7660000.0,0.0,Cap Grt Loc Auth
27/03/2025,CRSTS Revenue,7549000.0,0.0,CurrGrt Las in AEF/A
27/03/2025,London B of Ealing  -  LEVI C Fund 24-25 100%,7544000.0,0.0,Cap Grt Loc Auth
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,7532416.06,0.0,Cap Grt Loc Auth
27/03/2025,CRSTS Revenue,7274000.0,0.0,CurrGrt Las in AEF/A
28/03/2025,2601 Wk4 NRC_PCP Infrastructure Charges_P2601 - AR,7260604.24,0.0,TOCOpCosts(Pub)
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,7222600.94,0.0,Cap Grt Loc Auth
