date,description,net_amount,vat_amount,category
02/01/2026,Project - Contract Mandays (supplier controlled),49545.45,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),25894.29,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),275485.22,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),79796.25,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),51275.63,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),22433.09,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),21115.9,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),22433.08,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),79796.25,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),21115.9,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),132679.38,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),129404.13,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),29882.5,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),26280.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),8151.98,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),709.18,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),82679.06,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),70700.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),82679.07,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),106888.11,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),87138.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),99864.75,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),84296.25,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),28098.75,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),62307.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),94704.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),31568.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),62307.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),106888.11,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),22992.5,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),105351.78,0.0,PROJECT Mandays Supp
