Line Number ,Posting Date ,MCH.Merchant Category Code (MCC),MCH.Merchant Name,FIN.Transaction Amount,Description
epcs 1,18/08/2025,9399,C2E935900255B UKVI,4025,VISA SPONSORSHIP PAYMENT
epcs 2,18/08/2025,9399,C2E935900050N UKVI,3525,VISA SPONSORSHIP PAYMENT
epcs 3,18/08/2025,9399,C2E935900329D UKVI,3025,VISA SPONSORSHIP PAYMENT
epcs 4,18/08/2025,9399,C2E936100029P UKVI,2525,VISA SPONSORSHIP PAYMENT
epcs 5,21/07/2025,9399,C2E933103004L UKVI,2525,VISA SPONSORSHIP PAYMENT
A2B 1,45875,5940,SP JORVIK TRICYCLES UK,1959,1 X JORVIK ELITE LOW STEP THROUGH ELECTRIC FOLDING TRICYCLE JET-E20
A2B 2,45875,5732,CURRYS ONLINE,1499,1 X LAPTOP
A2B 3,45867,4112,SE ONLINE WEB,1202.7,TRAVELCARD: Dartford to London travel card zones 1-6
A2B 4,45884,5311,ONE4ALL,1000.99,giftcards for claimants to purchase equipment
A2B 5,45867,5399,PROTILERTOOLS.CO.UK,973.33,TILING TOOL
A2B 6,45870,5211,SCREWFIX DIRECT,899.99,MAKITA DLX6068PT 18V 3 X 5.0AH LI-ION LXT CORDLESS 6-PIECE POWER TOOL KIT (5410V
A2B 7,45875,5533,HALFORDS E.COMM,879.2,ebike for claimant to commute to and from place of work
A2B 8,45877,4112,TRAINLINE,873.3,London Bridge from Gravesend train ticket for 2 months
A2B 9,45859,5211,SCREWFIX DIRECT,872.51,claimant to start soffit and fascia installer
A2B 10,45868,5940,EVANSCYCLES (WARESHOP2,868.99,"Purchase for a bike to commute to work, FSF"
A2B 11,45882,4112,TRAINLINE,840.6,Train ticket: from Gravesend in Kent to Chelmsford in Essex. 
A2B 12,45876,5211,SCREWFIX DIRECT,829.93,6
A2B 13,45887,4112,SE ONLINE WEB,821.4,"Southeastern Rail monthly season ticket, Folkstone Central - St Pancras"
A2B 14,45870,4112,GREATER ANGLIA,807.2,1 MONTH RAIL SEASON TICKET
A2B 15,45875,5970,CRICUT,799.99,CRICUT AUTOPRESS
A2B 16,45862,5211,SCREWFIX DIRECT,769.95,1 PLANER 1 JIGSAW 1 CIRCULAR SAW 1 BRUSHLESS CORDLESS 4 PIECE KIT
A2B 17,45882,5977,WWW.SALON-SERVICES.COM,759.71,VARIOUS ITEMS SEE FSF1
A2B 18,45877,5399,AMAZON  RF8598GL4,749,"X1 LAUNCH X431 PRO V5.0 ELITE BI-DIRECTIONAL CAR DIAGNOSTIC TOOL,OEM FULL SYSTEM"
A2B 19,45877,5047,LEACH S,713.04,TOOL BELT- 1 GUN AND HOLDER-1SPANNER-1 RATCHET-1 LEVEL-1 TAPE-1 BATTERY/CHARGE2
A2B 20,45869,4112,GREATER ANGLIA,708.5,Monthly Rail pass
A2B 21,45875,4112,GREATER ANGLIA,695.5,X1 MONTHLY TRAIN TICKET TO LONDON ZONE 1-6
A2B 22,45867,5211,SCREWFIX DIRECT,693.91,tools / work clothing to allow them to start self-employed work
A2B 23,45863,4112,TRAINLINE,688.9,1X MONTHLY SEASON TICKET (ELSENHAM TO LONDON)
A2B 24,45877,5211,SCREWFIX DIRECT,679.99,B 18V 3 X 4.0AH LI-ION XR CORDLESS 6 PIECE KIT (390RL)DEWALT DCK677M3T-G
A2B 25,45874,5211,B&Q MARKETPLACE,679.99,1 X 8X10 4LIFE APEX SHED 25YR GUARANTEE OVERLAP PRESSURE TREATED - DOUBLE DOOR -
A2B 26,45869,4112,TRAINLINE,675.5,travel costs for claimant based between two locations � Lewisham and Brixton
A2B 27,45867,5211,SCREWFIX DIRECT,664.46,MAC ALLISTER ALUMINIUM 470MM X 0.9M FOLDING WORK PLATFORM(6409P) NDC POLYTHENES
A2B 28,45884,5995,SP PEWTNER GROOMING SU,662,"DOG GROOMING KIT - 4X SCISSORS, 2X BRUSH, 2X COMBS, 1X STRAP"
A2B 29,45875,5211,SCREWFIX DIRECT,651.23,VARIOUS HAND AND POWER TOOLS FOR A BATHROOM TILER
A2B 30,45877,5311,ARGOS,649,ASUS Vivobook 17 17.3in i5 8GB 512GB Laptop
A2B 31,45877,4112,GREATER ANGLIA,643.2,train ticket monthly
A2B 32,45875,4112,GREATER ANGLIA,643.2,train ticket monthly
A2B 33,45869,4112,GREATER ANGLIA,643.2,train ticket monthly
A2B 34,45863,4112,GREATER ANGLIA,626.4,train ticket monthly
A2B 35,45880,5732,CURRYS ONLINE,598.97,1 X LAPTOP
A2B 36,45863,5251,TOOLSTATION UK,598.13,"fifteen different items from Toolstation, all related to bricklaying tools and equipment"
A2B 37,45881,4112,TRAINLINE,592.2,TRAVEL CARD LONDON ZONES 1-6
A2B 38,45883,5533,IDOPAY  BIG TRADE DIGI,584.28,"BIKE, 1"
A2B 39,45862,5251,TOOLSTATION UK,569.95,"IMPACT WRENCH X1, COMPACT WRENCH X1, SOCKET SET X1"
A2B 40,45883,4112,TRAINLINE,553.4,train ticket monthly
A2B 41,45877,4112,TRAINLINE,553.4,train ticket monthly
A2B 42,45861,4112,TRAINLINE,553.4,train ticket monthly
A2B 43,45877,5399,AMAZON  RF9P16104,540.13,"Co-Z Chair, Cloud Nine Airshot Pro, Cloud Nine Curler, Cloud Nine Hair Straightners, Tripod Ring Light"
A2B 44,45868,5211,SCREWFIX DIRECT,539.89,TOOLS - 868FG/ERH-18/EMT18-LI-QC/223PF
A2B 45,45881,5065,TESTMETER,534,1 FAS ANALYSER PRO KIT
A2B 46,45866,4112,TRAINLINE,533.4,train ticket monthly
A2B 47,45863,4112,TRAINLINE,533.4,1 X RAIL TICKET TONBRIDGE TO CANNON STREET
A2B 48,45859,5251,DATATOOLS.CO.UK,533.39,train ticket monthly
A2B 49,45868,4112,TRAINLINE,532.3,1 X MONTHLY RAIL SEASON TICKET TRING - LONDON TERMINALS
A2B 50,45883,5251,TOOLDEN,522.68,1 X PETROL MULTI TOOL £199.99 X PETROL LAWNMOWER £322.69
A2B 51,45861,4112,GREATER ANGLIA,521.9,X1 TRAIN TICKET WITHAM TO NEW MALDEN - MONTHLY
A2B 52,45884,5311,ARGOS,518.99,Lenovo IdeaPad Slim 3 16in Ryzen 7 16GB 512GB Laptop and Wireless Mouse and Keyboard
A2B 53,45870,5999,RUTLAND PUMPS LIMITED,516.49,industry specific tool to assist the self-employed claimant in his roof guttering business
A2B 54,45884,4112,C2C-ONLINE.CO.UK,514.6,1X MONTHLY SEASON TICKET
A2B 55,45883,4112,C2C-ONLINE.CO.UK,514.6,"1X MONTHLY TICKET FROM BASILDON TO HOLBORN, LONDON"
A2B 56,45881,5251,TOOLS4TRADE,514,1 X HYDRAULIC IMPACT DRIVER & 1 X RECIPROCATING SAW
