Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode
HMRC,HMRC,02/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,CAPGEMINI,5100058947,49545.45,Project - Contract Mandays (supplier controlled),TF3 3BD
HMRC,HMRC,02/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EVIDEN TECHNOLOGY SERVICES LIMITED,5100061319,25894.29,Project - Contract Mandays (supplier controlled),WC1V 6EA
HMRC,HMRC,02/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,ACCENTURE (UK) LTD,5100061686,275485.22,Project - Contract Mandays (supplier controlled),EC3M 3BD
HMRC,HMRC,02/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EQUAL EXPERTS UK LTD,5100058395,79796.25,Project - Contract Mandays (supplier controlled),AL1 5HE
HMRC,HMRC,02/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EQUAL EXPERTS UK LTD,5100058397,51275.63,Project - Contract Mandays (supplier controlled),AL1 5HE
HMRC,HMRC,02/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EQUAL EXPERTS UK LTD,5100058398,22433.09,Project - Contract Mandays (supplier controlled),AL1 5HE
HMRC,HMRC,02/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EQUAL EXPERTS UK LTD,5100058399,21115.9,Project - Contract Mandays (supplier controlled),AL1 5HE
HMRC,HMRC,02/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EQUAL EXPERTS UK LTD,5100064211,22433.08,Project - Contract Mandays (supplier controlled),AL1 5HE
HMRC,HMRC,02/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EQUAL EXPERTS UK LTD,5100064212,79796.25,Project - Contract Mandays (supplier controlled),AL1 5HE
HMRC,HMRC,05/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EQUAL EXPERTS UK LTD,5100064213,21115.9,Project - Contract Mandays (supplier controlled),AL1 5HE
HMRC,HMRC,05/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,NETCOMPANY UK Limited,5100061690,132679.38,Project - Contract Mandays (supplier controlled),EC4R 9AT
HMRC,HMRC,05/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,NETCOMPANY UK Limited,5100061691,129404.13,Project - Contract Mandays (supplier controlled),EC4R 9AT
HMRC,HMRC,05/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EVIDEN TECHNOLOGY SERVICES LIMITED,5100058396,29882.5,Project - Contract Mandays (supplier controlled),WC1V 6EA
HMRC,HMRC,05/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EVIDEN TECHNOLOGY SERVICES LIMITED,5100064210,26280,Project - Contract Mandays (supplier controlled),WC1V 6EA
HMRC,HMRC,05/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,TECKNUOVO LTD,5100062579,8151.98,Project - Contract Mandays (supplier controlled),WC2A 1QS
HMRC,HMRC,05/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,TECKNUOVO LTD,5100063133,709.18,Project - Contract Mandays (supplier controlled),WC2A 1QS
HMRC,HMRC,05/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EQUAL EXPERTS UK LTD,5100063845,82679.06,Project - Contract Mandays (supplier controlled),AL1 5HE
HMRC,HMRC,05/01/2026,PROJECT Mandays Supp,B&T Customs Change Delivery,EQUAL EXPERTS UK LTD,5100063848,70700,Project - Contract Mandays (supplier controlled),AL1 5HE
